index,n_cells
Scrib,681
Scyl1,653
Sdc1,864
Sdc4,936
Sdcbp,1121
Sdccag3,810
Sdf2,1084
Sdf2l1,788
Sdf4,1148
Sdha,1100
Sdhaf1,688
Sdhaf2,668
Sdhb,1145
Sdhc,1115
Sdhd,1012
Sec11a,1085
Sec11c,1096
Sec13,1004
Sec14l1,634
Sec16a,672
Sec22b,880
Sec23b,764
Sec24c,783
Sec31a,980
Sec61a1,1007
Sec61b,1193
Sec61g,1196
Sec62,1178
Sec63,895
Seh1l,866
Sel1l,755
Selenbp1,810
Selk,1194
Sema4a,658
Senp2,781
Senp3,770
Senp6,1018
Sep15,1190
Sephs2,805
Sepp1,661
Sept2,1019
Sept7,1131
Sept8,633
Sept9,742
Sepw1,1181
Sepx1,1018
Serbp1,1196
Serf1,835
Serf2,1196
Serhl,608
Serinc1,919
Serinc2,670
Serinc3,1053
Serp1,1174
Serpinb5,757
Serpinb6a,726
Sertad1,924
Sertad2,874
Set,1191
Setd2,755
Setd3,948
Setd5,765
Setd7,655
Setd8,1079
Sf1,1125
Sf3a1,713
Sf3a2,756
Sf3a3,702
Sf3b1,1183
Sf3b2,1179
Sf3b3,786
Sf3b4,1039
Sf3b5,1168
Sfn,876
Sfpq,1148
Sfr1,1184
Sfrs18,932
Sft2d1,984
Sft2d2,666
Sfxn1,942
Sgk1,906
Sgpl1,771
Sgpp1,714
Sgta,987
Sh3bgrl,769
Sh3bgrl3,1182
Sh3gl1,787
Sh3glb1,1124
Sh3glb2,907
Sh3pxd2a,650
Shb,614
Shc1,735
Shfm1,1196
Shisa5,1035
Shmt2,785
Shoc2,811
Siah1a,610
Siah2,815
Sidt2,853
Sigmar1,653
Sik1,674
Sike1,687
Sin3b,1083
Sirt2,946
Sirt7,793
Siva1,955
Ski,769
Skil,773
Skiv2l,604
Skp1a,1188
Slain2,879
Slbp,852
Slc20a1,601
Slc25a1,756
Slc25a11,1046
Slc25a17,1020
Slc25a25,817
Slc25a3,1196
Slc25a37,641
Slc25a39,891
Slc25a4,1152
Slc25a46,734
Slc25a5,1194
Slc2a1,797
Slc30a9,726
Slc31a1,814
Slc35a4,830
Slc35b1,897
Slc35b2,656
Slc35c2,641
Slc35f5,707
Slc38a10,752
Slc38a2,1110
Slc39a1,642
Slc39a6,766
Slc39a7,925
Slc3a2,1148
Slc44a2,801
Slc48a1,1016
Slc50a1,798
Slc6a6,725
Slc6a8,706
Slc7a1,674
Slc7a6os,709
Slc9a3r1,1081
Slk,979
Slmap,895
Slmo2,996
Slpi,668
Sltm,1086
Slu7,788
Slx1b,671
Smad1,655
Smad2,867
Smad4,611
Smad7,702
Smagp,814
Smap1,1098
Smap2,685
Smarca4,1091
Smarca5,1099
Smarcb1,931
Smarcc1,908
Smarcc2,684
Smarcd2,986
Smarce1,1077
Smc1a,986
Smc3,922
Smc4,738
Smc6,910
Smchd1,870
Smek1,794
Smek2,932
Smg1,762
Smg6,604
Smg7,680
Smn1,751
Smndc1,876
Smox,626
Smpdl3a,723
Sms,699
Smu1,896
Smyd2,792
Snap23,736
Snapc5,964
Snapin,782
Snd1,879
Snf8,1130
Snhg1,1058
Snhg12,871
Snhg3,1041
Snhg4,723
Snhg5,798
Snhg6,1043
Snhg8,1151
Snhg9,602
Snrk,679
Snrnp200,664
Snrnp25,835
Snrnp27,1072
Snrnp40,787
Snrnp48,798
Snrnp70,1134
Snrpa,984
Snrpa1,933
Snrpb,1190
Snrpb2,1015
Snrpc,1068
Snrpd1,1148
Snrpd2,1190
Snrpd3,1074
Snrpe,1192
Snrpf,1193
Snrpg,1195
Snw1,1068
Snx1,748
Snx12,760
Snx15,700
Snx17,959
Snx2,939
Snx3,1184
Snx4,712
Snx5,1043
Snx6,990
Socs3,627
Sod1,1087
Sod2,1153
Son,1189
Sord,724
Sort1,679
Sowahc,705
Sox4,638
Sp1,645
Sp3,746
Spag7,1078
Spag9,939
Spast,626
Spcs1,1182
Spcs2,1167
Spcs3,809
Spen,650
Spg21,1061
Spg7,701
Sphk2,608
Spin1,817
Spint1,779
Spint2,1119
Spna2,859
Spnb2,1008
Spop,1109
Sppl3,817
Spr,892
Sprr1a,680
Spryd3,602
Spsb3,634
Sptlc1,811
Sptlc2,903
Spty2d1,815
Sqle,760
Sqstm1,1070
Sra1,1092
Srebf1,703
Srebf2,663
Srek1,755
Srf,672
Sri,1146
Srm,875
Srp14,1190
Srp19,1096
Srp68,919
Srp72,1094
Srp9,1193
Srpk1,932
Srpk2,860
Srpr,1009
Srprb,777
Srrm1,1161
Srrm2,1180
Srrt,853
Srsf1,1078
Srsf10,1024
Srsf11,1149
Srsf2,1193
Srsf3,1190
Srsf4,805
Srsf5,1193
Srsf6,1169
Srsf7,1164
Srsf9,1095
Srxn1,720
Ss18,898
Ssb,1170
Ssbp1,982
Ssbp2,621
Ssbp3,887
Ssbp4,864
Ssfa2,656
Ssna1,1051
Ssr1,1103
Ssr2,1145
Ssr3,1134
Ssr4,1191
Ssrp1,1109
Sssca1,860
Ssu72,1162
Ssx2ip,690
St13,1132
St14,690
Stag1,663
Stag2,813
Stam2,700
Stap2,656
Stard10,902
Stard3nl,621
Stard7,710
Stat3,1012
Stat6,806
Stau1,631
Stip1,1021
Stk11,1005
Stk16,933
Stk17b,683
Stk19,848
Stk24,1042
Stk25,841
Stk38,647
Stk4,610
Stk40,805
Stmn1,985
Stoml2,1031
Stra13,1106
Strap,1156
Strbp,734
Strn3,1019
Strn4,809
Stt3a,858
Stt3b,1040
Stub1,1167
Stx12,886
Stx16,637
Stx3,625
Stx4a,963
Stx5a,830
Stx6,694
Stx7,918
Stx8,858
Stxbp2,901
Stxbp3a,688
Styx,753
Sub1,1196
Sucla2,961
Suclg1,1059
Suclg2,892
Suds3,1103
Sugt1,1074
Sumo1,1185
Sumo2,1195
Sumo3,1122
Sun1,655
Sun2,707
Supt16h,767
Supt4h1,1118
Supt5h,871
Supt6h,866
Surf1,884
Surf2,611
Surf4,1084
Suv420h1,598
Suz12,811
Swi5,1192
Syap1,868
Syf2,1085
Sympk,671
Syncrip,1098
Syne2,637
Syngr2,1109
Synj2bp,788
Sypl,1156
Sys1,1130
Sytl1,727
Syvn1,610
Tab2,919
Tacc2,697
Tacstd2,904
Taf1,651
Taf10,1154
Taf11,843
Taf12,832
Taf13,893
Taf15,927
Taf1d,990
Taf3,677
Taf5l,657
Taf7,795
Taf9,1165
Tagln2,1182
Taldo1,1186
Tank,653
Taok1,840
Taok3,673
Tapbp,1071
Tarbp2,668
Tardbp,1072
Tars,888
Tatdn2,691
Tax1bp1,1175
Tax1bp3,911
Taz,647
Tbc1d10a,785
Tbc1d15,720
Tbc1d17,616
Tbca,1196
Tbcb,1144
Tbcc,671
Tbl1x,621
Tbl1xr1,709
Tbrg1,1084
Tbrg4,620
Tcea1,1088
Tceal8,932
Tceb1,1178
Tceb2,1196
Tceb3,804
Tcerg1,906
Tcf12,641
Tcf25,1183
Tcf3,802
Tcf4,676
Tcn2,727
Tcp1,1171
Tecr,1183
Tes,622
Tet3,832
Tex261,799
Tex264,869
Tfam,665
Tfb2m,624
Tfg,1016
Tfrc,610
Tgfb1,764
Tgif1,855
Tgoln1,927
Tgs1,650
Thap11,698
Thap4,669
Thoc2,961
Thoc3,678
Thoc6,785
Thoc7,1129
Thop1,743
Thrap3,1054
Thumpd1,676
Thumpd3,657
Tial1,989
Tiam1,789
Timm10,825
Timm13,1192
Timm17a,1104
Timm17b,989
Timm22,887
Timm23,1167
Timm44,872
Timm50,745
Timm8a1,910
Timm8b,1146
Timm9,656
Tinagl1,647
Tiparp,844
Tipin,661
Tiprl,784
Tjp1,708
Tjp2,739
Tkt,1159
Tle3,780
Tlk1,619
Tln1,799
Tm2d1,969
Tm2d2,1031
Tm2d3,749
Tm9sf1,810
Tm9sf2,1022
Tm9sf3,1160
Tm9sf4,689
Tmbim1,896
Tmbim4,1084
Tmbim6,1192
Tmcc3,693
Tmco1,1159
Tmed10,1195
Tmed2,1192
Tmed3,1097
Tmed4,639
Tmed5,1107
Tmed7,1044
Tmed9,1186
Tmem106c,749
Tmem107,607
Tmem109,920
Tmem11,1017
Tmem111,949
Tmem115,642
Tmem123,1060
Tmem126a,802
Tmem128,842
Tmem131,670
Tmem134,1167
Tmem141,668
Tmem147,1123
Tmem14c,1167
Tmem159,598
Tmem160,990
Tmem165,957
Tmem167,1132
Tmem176a,600
Tmem176b,758
Tmem179b,953
Tmem183a,989
Tmem192,699
Tmem205,988
Tmem208,1101
Tmem214,632
Tmem219,825
Tmem222,808
Tmem223,828
Tmem29,692
Tmem30a,1023
Tmem33,978
Tmem40,691
Tmem41b,643
Tmem43,814
Tmem5,724
Tmem50a,1140
Tmem50b,753
Tmem51,635
Tmem55a,638
Tmem55b,756
Tmem57,671
Tmem59,1188
Tmem60,744
Tmem63a,669
Tmem63b,783
Tmem65,713
Tmem66,1102
Tmem70,857
Tmem85,1047
Tmem93,1161
Tmem97,703
Tmem9b,944
Tmf1,810
Tmod3,980
Tmpo,939
Tmprss13,625
Tmsb10,1164
Tmsb4x,1192
Tmx1,892
Tmx2,658
Tmx3,741
Tnfaip1,848
Tnfaip8,1013
Tnfrsf12a,863
Tnfrsf1a,1035
Tnk2,641
Tnks1bp1,710
Tnks2,893
Tnpo2,599
Tnpo3,888
Tnrc18,621
Tnrc6a,847
Tnrc6b,853
Tob1,907
Tob2,932
Tollip,816
Tom1,623
Tomm20,1196
Tomm22,1182
Tomm34,741
Tomm40,1053
Tomm5,1150
Tomm6,1196
Tomm7,1196
Tomm70a,967
Top1,1182
Top2b,1026
Topors,752
Tor1a,744
Tor1aip1,958
Tor1aip2,1025
Tor1b,606
Tor2a,816
Tox4,779
Tpd52,1044
Tpd52l2,1052
Tpi1,1178
Tpm1,986
Tpm2,683
Tpm3,1191
Tpm4,1047
Tpp1,842
Tpp2,746
Tppp3,623
Tpr,1126
Tprgl,1102
Tpst2,674
Tpt1,1196
Tra2a,998
Tra2b,1170
Trabd,950
Traf7,853
Trafd1,661
Tram1,1109
Trap1,791
Trappc1,945
Trappc10,648
Trappc2l,1079
Trappc3,986
Trappc4,1118
Trappc5,886
Trappc6a,1113
Trappc6b,1071
Triap1,903
Trib1,851
Trim16,688
Trim25,659
Trim27,773
Trim28,1047
Trim29,728
Trim44,646
Trim8,629
Triobp,786
Trip11,649
Trip12,950
Trip6,613
Trmt1,794
Trmt112,1145
Trmt6,642
Trnau1ap,874
Trnt1,728
Trp53,972
Trp53bp2,631
Trpc4ap,868
Trps1,675
Tsc22d1,969
Tsc22d2,693
Tsc22d3,662
Tsc22d4,1072
Tsen34,1014
Tsfm,795
Tsg101,1094
Tshz1,635
Tsn,1123
Tsnax,880
Tspan13,637
Tspan14,788
Tspan3,929
Tspan31,926
Tspan5,629
Tspan7,637
Tspan9,708
Tspo,1171
Tspyl1,688
Tsr1,599
Tssc1,602
Tssc4,614
Tst,810
Tsta3,861
Ttc1,878
Ttc14,751
Ttc3,898
Ttc35,850
Tuba1a,877
Tuba1b,1169
Tuba1c,1049
Tuba4a,1118
Tubb2a,947
Tubb4b,1190
Tubb5,1160
Tufm,928
Tug1,717
Tulp4,622
Tusc2,787
Twf1,901
Twistnb,884
Twsg1,761
Txlna,688
Txn1,1196
Txn2,1173
Txndc12,611
Txndc15,862
Txndc17,1190
Txndc5,857
Txndc9,1092
Txnip,618
Txnl1,1158
Txnl4a,1178
Txnrd1,953
U2af1,1169
U2af1l4,791
U2af2,1077
Uap1,903
Uba1,1128
Uba2,983
Uba3,701
Uba5,756
Uba52,1196
Ubac2,835
Ubap1,785
Ubap2,853
Ubap2l,1041
Ubb,1196
Ubc,1196
Ube2a,1101
Ube2b,1183
Ube2d1,650
Ube2d2,1180
Ube2d3,1195
Ube2e1,1144
Ube2e3,1017
Ube2f,971
Ube2g1,930
Ube2g2,895
Ube2h,870
Ube2i,1187
Ube2j1,829
Ube2j2,916
Ube2k,1167
Ube2l3,1170
Ube2m,1094
Ube2n,1172
Ube2q1,827
Ube2q2,740
Ube2r2,1094
Ube2s,1192
Ube2v1,1168
Ube2v2,987
Ube2w,774
Ube2z,812
Ube3a,1003
Ube3b,631
Ube4a,668
Ube4b,671
Ubfd1,764
Ubl3,857
Ubl4,1065
Ubl5,1196
Ubl7,790
Ubn1,892
Ubn2,841
Ubp1,665
Ubqln1,1032
Ubqln4,649
Ubr2,722
Ubr4,849
Ubr5,873
Ubtd1,725
Ubtf,1007
Ubxn1,1185
Ubxn2a,828
Ubxn4,1148
Ubxn6,999
Uchl3,1078
Uchl5,912
Uck2,789
Ucp2,1144
Ufc1,1124
Ufd1l,816
Ufm1,1095
Ufsp2,701
Ugcg,711
Ugdh,654
Uggt1,624
Ugp2,906
Uhrf1bp1l,648
Ulk1,648
Unc45a,840
Unc50,939
Upf1,841
Upf2,720
Upf3a,832
Upf3b,745
Uqcr10,1196
Uqcr11,1196
Uqcrb,1196
Uqcrc1,1162
Uqcrc2,1162
Uqcrfs1,1186
Uqcrh,1196
Uqcrq,1195
Urm1,830
Use1,1187
Usf2,983
Usmg5,1188
Uso1,836
Usp1,728
Usp10,757
Usp14,941
Usp15,764
Usp16,887
Usp19,807
Usp22,731
Usp25,943
Usp3,607
Usp34,1013
Usp39,649
Usp4,855
Usp47,793
Usp48,644
Usp5,846
Usp7,876
Usp8,792
Usp9x,944
Utp11l,1002
Utp14a,765
Utp18,736
Utp3,986
Utrn,669
Uxt,817
Vamp2,738
Vamp3,943
Vamp7,660
Vamp8,1190
Vapa,1191
Vapb,1015
Vars,912
Vasp,1102
Vat1,933
Vbp1,962
Vcl,774
Vcp,1189
Vdac1,1180
Vdac2,1183
Vdac3,1116
Vegfa,604
Vezf1,774
Vkorc1,924
Vma21,1009
Vmp1,1035
Vps13a,667
Vps25,1064
Vps26a,908
Vps26b,652
Vps28,1135
Vps29,1083
Vps35,1072
Vps36,1009
Vps37a,764
Vps37b,845
Vps41,658
Vps4a,730
Vps4b,1037
Vps53,648
Vps72,889
Vta1,847
Vti1b,1102
Wac,1031
Wapal,990
Wars,666
Wasf2,1030
Wasl,879
Wbp1,775
Wbp11,1091
Wbp2,1004
Wbp4,1025
Wbp5,1132
Wbscr22,821
Wdr1,1153
Wdr18,768
Wdr26,1024
Wdr33,934
Wdr36,614
Wdr43,934
Wdr45l,813
Wdr46,650
Wdr5,684
Wdr61,1093
Wdr74,784
Wdr77,687
Wdr82,662
Wdr83,638
Wdr89,1034
Wee1,604
Wfdc2,618
Whsc1l1,884
Wibg,669
Wipf2,702
Wipi2,663
Wls,849
Wnk1,1102
Wnt4,734
Wnt7b,664
Wsb1,1004
Wsb2,775
Wtap,885
Wwp1,652
Wwtr1,615
Xbp1,1102
Xist,760
Xpa,680
Xpnpep1,828
Xpo1,780
Xpo7,624
Xpot,733
Xrcc1,626
Xrn2,965
Yaf2,818
Yap1,747
Yars,702
Ybx1,1196
Yeats4,925
Yif1a,1011
Yif1b,965
Yipf1,826
Yipf3,1000
Yipf4,1051
Yipf5,892
Yipf6,650
Ykt6,865
Ylpm1,603
Yme1l1,880
Ypel3,958
Ypel5,762
Yrdc,1053
Ythdc1,1032
Ythdf1,784
Ythdf2,944
Ythdf3,675
Ywhab,1188
Ywhae,1195
Ywhag,1091
Ywhah,1098
Ywhaq,1190
Ywhaz,1194
Yy1,1078
Zbtb7a,1086
Zbtb7b,697
Zbtb8os,705
Zc3h11a,1049
Zc3h12a,624
Zc3h13,844
Zc3h14,854
Zc3h15,1156
Zc3h18,764
Zc3h7a,734
Zcchc10,610
Zcchc17,878
Zcchc6,878
Zcchc7,809
Zcchc8,615
Zcchc9,785
Zcrb1,1141
Zdhhc13,668
Zdhhc20,897
Zdhhc21,736
Zdhhc3,867
Zdhhc4,627
Zdhhc5,802
Zdhhc6,670
Zfand1,643
Zfand2b,828
Zfand3,786
Zfand5,1159
Zfand6,1113
Zfml,619
Zfp106,929
Zfp131,875
Zfp148,773
Zfp207,1088
Zfp259,801
Zfp266,736
Zfp292,605
Zfp326,812
Zfp330,817
Zfp36,1096
Zfp36l1,984
Zfp36l2,854
Zfp467,672
Zfp511,616
Zfp593,905
Zfp622,922
Zfp644,634
Zfp655,653
Zfp664,630
Zfp672,719
Zfp703,696
Zfp706,1191
Zfp771,772
Zfp830,602
Zfp871,672
Zfp91,843
Zfpl1,694
Zfr,904
Zkscan3,622
Zmat2,1110
Zmat5,862
Zmiz1,865
Zmiz2,746
Zmpste24,650
Zmym5,822
Zmynd11,849
Zmynd8,637
Znhit1,1049
Znhit2-ps,631
Znrd1,988
Znrf1,877
Zranb2,907
Zrsr2,867
Zyx,824
Zzz3,698
l7Rn6,867
